name,official_name,alias,origins,climate,description,difficulty,water,light,humidity,temperature,toxicity,format,leaf_shape,image_url,url,height,width
Moth Orchid,Phalaenopsis spp.,"Moth Orchid, Phals",Southeast Asia,Tropical & Subtropical,"An absolute classic, yet so often misunderstood. Once you get to know their unique needs and can read their handy cues, enjoying these beauties will be a breeze. The foliage is pleasantly unassuming and the tangle of aerial roots are curious, but the star of the show is the cluster of blooms that sits atop a long arching stem. True to their name, each bloom looks almost like a moth captured in mid-flight.",4,Allow top inches of soil to dry between waterings.,"Bright, indirect light.",Extra humidity appreciated in drier spaces.,Enjoys warmer temps.,Non-toxic. Completely pet safe!,"Aerial roots, thick green leaves, and clusters of bright blooms.",Bright green oblong leaves featuring showy blooms.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/61f0a214a2cb9abf31a7576a_moth%20orchid-export.png,https://www.howmanyplants.com/plant/moth-orchid,1-3,1
Nerve Plant,Fittonia albivenis,"Mosaic Plant, Fittonia, Painted Net Leaf",South America,Tropical,"This little plant packs a punch. Their bright green leaves are strongly contrasted by veins in brilliant white, pink, or red that creates the look of an intricate mosaic with contrasting grout or a depiction of the nervous system.",3,"Keep soil just moist, but not soggy.","Bright, indirect light.",Sensitive to low humidityâkeep in a humid spot.,Enjoys warmer temps.,Non-toxic. Completely pet safe!,Low bushy clusters of densely packed stems.,Deep green with high contrast veins and an almond shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/61f0a23294ace3f195702a61_nerve%20plant-export.png,https://www.howmanyplants.com/plant/nerve-plant,,
Croton,Codiaeum variegatum 'Mammy',"Fire Croton, Garden Croton, Variegated Croton, Joseph's Coat",Southeast Asia,Subtropical,"With a fiery burst of color and texture, this croton is a true stand out. Their squiggly oblong leaves are splashed with joyful flecks of green, yellow, orange, and red that create a spectacular flame effect.",3,Allow top inches of soil to dry between waterings.,"Bright, indirect light.",Sensitive to low humidityâkeep in a humid spot.,"Can adapt, but doesn't like sudden change.",Mildly toxic to humans and pets if ingested.,Densely packed upright stems.,Vibrant multi-colored leaves with a wavy oblong shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/61f0a2e526c86c4d5a96a9d3_croton%20mammy-export.png,https://www.howmanyplants.com/plant/croton,5,5
Pencil Cactus,Euphorbia tirucalli,"Indian Tree Spurge, Pencil Tree, Milk Bush, Fire Sticks, Sticks on Fire, Aveloz",Africa & India,Tropical (semi-arid),"A strange plant that might seem more at home in a coral reef. The tangle of stems and branches have a uniform thickness that happens to resemble a pencilâhence the name! But another name, Fire Sticks, hints at a show-stopping ability to change color. The stems can shift from a vibrant green to yellow, orange, and pink!",1,Allow half of soil to dry out before watering again.,"Bright, indirect to direct light.",Not too concerned by humidity levels.,Enjoys warmer temps.,Highly toxic to humans and pets if ingested.,Dense clusters of many-branched stems.,"Tiny unremarkable leaves stud dense, plentiful stems.",https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/61f0a30c459463e88e16b02b_pencil%20cactus-export.png,https://www.howmanyplants.com/plant/pencil-cactus,6,2
Burro's Tail,Sedum morganianum 'Burrito',"Donkey's Tail, Lamb's Tail",Central America,Tropical,"An irresistibly cute succulent. Rows of chubby little leaves are densely layered along cascading stems, creating long ""tails"" that lend quite a mane-like look to the whole affair.",3,Allow half of soil to dry out before watering again.,"Bright, indirect to direct light.",Not too concerned by humidity levels.,"Can adapt, but doesn't like sudden change.",Mildly toxic to humans and pets if ingested.,Cascading tendrils create a mane-like look.,Plump vibrant green teardrops.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/61f0a41ed6de52f0481cb308_burros%20tail-export.png,https://www.howmanyplants.com/plant/burros-tail,2-3,
Bird of Paradise,Strelitzia nicolai or reginae,Crane Flower,South Africa,Humid Subtropical,"Instant jungle! The Bird of Paradise is named for the eye-catching flowers it can produce (with enough light and TLC), but the vibrant green and extra large leaves fan out and make a bold statement all on their own.",2,Allow half of soil to dry out before watering again.,"Bright, indirect to direct light.",Not too concerned by humidity levels.,Enjoys warmer temps.,Mildly toxic to humans and pets if ingested.,Upright clusters of long stems.,Deep green with a paddle-like shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f989759e71fb29bd0f33c8f_bird%20of%20paradise-export.png,https://www.howmanyplants.com/plant/bird-of-paradise,6-8,2-3
Stromanthe Triostar,Stromanthe sanguinea 'Triostar',"Triostar, Calathea Triostar",Central & South America,Tropical & Subtropical,"A perky plant in cheerful shades of pink and green. The variegation has an artistic qualityâeach leaf seems to be painted in deliberate, broad brushstrokes. Often mistaken for their cousin, the Calathea, this Stromanthe shares the ability to raise and lower their leaves from night to day.",4,"Keep soil just moist, but not soggy.","Medium to bright, indirect light.",Sensitive to low humidityâkeep in a humid spot.,"Can adapt, but doesn't like sudden change.",Non-toxic. Completely pet safe!,Low bushy clusters of densely packed stems.,Slender leaves with a unique painterly pattern.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/61f09f15ccb99ecba375b73a_stromanthe%20triostar-export.png,https://www.howmanyplants.com/plant/stromanthe-triostar,2,2
Mini Monstera,Rhaphidophora tetrasperma,"Monstera Minima, Philodendron Minima",Southeast Asia,Subtropical,"A highly coveted addition for many plant lovers. This beauty is often mistaken for a mini version of the prolific Monstera deliciosa. And while they share a similar look and climbing ability, the splits on Raphidophora leaves seem to have a more consistent pattern, creating a more elegant, graceful look. A tad less wild, but still plenty of jungle vibes.",2,Allow top inches of soil to dry between waterings.,"Low light tolerant. Bright, indirect light preferred.",Extra humidity appreciated in drier spaces.,"Can adapt, but doesn't like sudden change.",Mildly toxic to humans and pets if ingested.,A low shrubby plant that vines to great lengths.,Bright green with deeply split edges.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/61f0a07a6f38a163d24ce099_mini%20monstera-export.png,https://www.howmanyplants.com/plant/mini-monstera,6-8,2
Oxalis,Oxalis triangularis,"Purple Shamrock, False Shamrock, Love Plant, Wood Sorrel, Black Oxalis",Central & South America,Tropical & Subtropical,"A petite plant pal that'll stop you in your tracks. The crisp triangular leaves emerge from their stem in trios. Their otherworldly quality is enhanced by their deep, almost black, purple color. Not to mention the dainty pinkish-white flowers that you might spot peaking up through the dense foliage.",2,"Keep soil just moist, but not soggy.","Bright, indirect to direct light.",Extra humidity appreciated in drier spaces.,"Can adapt, but doesn't like sudden change.",Mildly toxic to humans and pets if ingested.,Low bushy clusters of densely packed stems.,Bundles of triangular leaflets in a dark purple hue.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/61f0a0a5325b73c7cab4bc98_oxalis-export.png,https://www.howmanyplants.com/plant/oxalis,,
Yucca,Yucca gigantea,"Yucca elephantipes, Yucca guatemalensis, Yucca Cane, Spineless Yucca, Giant Yucca",Central America,Tropical (semi-aird),"Spiky sword-like blades burst out from the tops of chunky cane-like branches on these unique indoor trees. Sometimes mistaken for a type of palm, these striking houseplants are slow growers that will nevertheless take up quite a bit of spaceâthe perfect anchor for a bright corner in your home.",1,Allow half of soil to dry out before watering again.,"Bright, indirect to direct light.",Not too concerned by humidity levels.,Enjoys warmer temps.,Mildly toxic to humans and pets if ingested.,Upright tree-like formation.,Flat spears in bright green.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/61f0a15d972551277c155eb0_yucca-export.png,https://www.howmanyplants.com/plant/yucca,6-8,2-3
