palatable,height,color,family,name
False,1.2192,Purple,Caprifoliaceae,Abelia ×grandiflora
False,50.292,Yellow,Pinaceae,Abies amabilis
False,18.288,Yellow,Pinaceae,Abies balsamea
False,36.576,Red,Pinaceae,Abies concolor
False,16.764,Purple,Pinaceae,Abies fraseri
False,45.72,Brown,Pinaceae,Abies magnifica
True,2.7432000000000003,Yellow,Fabaceae,Acacia constricta
False,3.6576000000000004,Yellow,Fabaceae,Acacia cyclops
True,6.096,Yellow,Fabaceae,Acacia greggii
False,6.096,Yellow,Fabaceae,Acacia longifolia
False,12.192,White,Fabaceae,Acacia melanoxylon
False,0.9144000000000001,Red,Euphorbiaceae,Acalypha virginica
False,6.096,Green,Aceraceae,Acer circinatum
False,6.096,White,Aceraceae,Acer ginnala
False,9.144,Green,Aceraceae,Acer glabrum
False,9.144,Green,Aceraceae,Acer glabrum var. douglasii
False,11.5824,Yellow,Aceraceae,Acer grandidentatum
True,18.288,Yellow,Aceraceae,Acer macrophyllum
True,18.288,White,Aceraceae,Acer negundo
True,30.48,Yellow,Aceraceae,Acer nigrum
False,10.668000000000001,Yellow,Aceraceae,Acer pensylvanicum
False,15.24,Green,Aceraceae,Acer platanoides
False,21.336000000000002,Green,Aceraceae,Acer pseudoplatanus
True,20.7264,Red,Aceraceae,Acer rubrum
True,27.432000000000002,Yellow,Aceraceae,Acer saccharinum
True,30.48,Green,Aceraceae,Acer saccharum
False,7.62,Yellow,Aceraceae,Acer spicatum
False,0.9144000000000001,White,Asteraceae,Achillea millefolium
False,0.9144000000000001,White,Asteraceae,Achillea millefolium var. occidentalis
False,0.6096,Yellow,Poaceae,Achnatherum hymenoides
False,0.9144000000000001,Yellow,Poaceae,Achnatherum lemmonii var. lemmonii
False,0.6096,Yellow,Poaceae,Achnatherum lettermanii
False,0.9144000000000001,Yellow,Poaceae,Achnatherum nelsonii ssp. dorei
False,0.6096,Yellow,Poaceae,Achnatherum occidentale ssp. occidentale
False,0.6096,Yellow,Poaceae,Achnatherum speciosum
False,0.6096,Yellow,Poaceae,Achnatherum thurberianum
False,0.21336,Green,Asteraceae,Acmella oppositifolia var. repens
False,1.524,Blue,Ranunculaceae,Aconitum columbianum
False,1.18872,Yellow,Acoraceae,Acorus americanus
False,1.524,Yellow,Acoraceae,Acorus calamus
False,3.048,White,Rosaceae,Adenostoma fasciculatum
False,0.5181600000000001,White,Pteridaceae,Adiantum capillus-veneris
False,0.39624000000000004,Brown,Pteridaceae,Adiantum pedatum
True,7.62,White,Hippocastanaceae,Aesculus californica
False,19.812,Yellow,Hippocastanaceae,Aesculus flava
False,20.7264,Green,Hippocastanaceae,Aesculus glabra
False,7.62,Red,Hippocastanaceae,Aesculus pavia
False,19.812,Yellow,Hippocastanaceae,Aesculus sylvatica
False,0.6096,Red,Lamiaceae,Agastache parvifolia
False,1.524,Red,Lamiaceae,Agastache urticifolia
False,1.8288000000000002,Yellow,Agavaceae,Agave americana
False,0.3048,Yellow,Agavaceae,Agave utahensis
False,0.3048,Orange,Asteraceae,Agoseris aurantiaca
False,0.3048,Yellow,Asteraceae,Agoseris glauca
False,0.54864,Yellow,Asteraceae,Agoseris grandiflora
False,1.7983200000000001,Yellow,Rosaceae,Agrimonia gryposepala
False,1.8288000000000002,Yellow,Rosaceae,Agrimonia parviflora
False,0.70104,Yellow,Rosaceae,Agrimonia rostellata
False,1.8288000000000002,Yellow,Rosaceae,Agrimonia striata
False,0.6096,Green,Poaceae,Agropyron cristatum
False,0.6096,Green,Poaceae,Agropyron desertorum
False,0.9144000000000001,Yellow,Poaceae,Agropyron fragile
False,0.45720000000000005,Yellow,Poaceae,Agrostis canina
False,0.6096,Yellow,Poaceae,Agrostis capillaris
False,0.9144000000000001,Yellow,Poaceae,Agrostis exarata
False,0.6096,Yellow,Poaceae,Agrostis gigantea
False,1.0668,Green,Poaceae,Agrostis hyemalis
False,0.42672,Yellow,Poaceae,Agrostis idahoensis
False,0.6096,Green,Poaceae,Agrostis pallens
False,1.0668,Green,Poaceae,Agrostis perennans
False,0.762,Yellow,Poaceae,Agrostis scabra
False,0.6096,Yellow,Poaceae,Agrostis stolonifera
False,16.764,Green,Simaroubaceae,Ailanthus altissima
False,0.09144000000000001,Blue,Lamiaceae,Ajuga reptans
False,6.096,White,Fabaceae,Albizia julibrissin
False,0.45720000000000005,White,Alismataceae,Alisma gramineum
False,0.9144000000000001,White,Alismataceae,Alisma plantago-aquatica
